customer_id,segment,region,acquisition_channel,signup_date,tenure_months,monthly_revenue_gbp,annual_revenue_gbp,credit_score,products_held,support_tickets_90d,digital_engagement_score,avg_payment_delay_days,estimated_clv_gbp,churned,churn_date
NX-00001,Business Line of Credit,London,Paid Ads,2023-01-09,1,426.1,5113.14,725,1,0,35.9,0.2,6412.73,0,
NX-00002,Mortgage Refinance,North West,Organic Search,2023-07-15,1,474.68,5696.22,671,1,3,38.7,4.2,6977.87,0,
NX-00003,Auto Finance,North West,Paid Ads,2023-10-22,33,239.12,2869.48,746,3,0,69.8,2.8,4854.2,0,
NX-00004,Business Line of Credit,South East,Referral,2023-10-07,2,338.48,4061.81,642,2,3,34.8,11.2,236.94,1,2023-11-12
NX-00005,Personal Loan,London,Direct,2024-01-16,24,167.34,2008.05,748,1,8,16.8,1.3,1405.63,1,2025-09-07
NX-00006,Personal Loan,Midlands,Organic Search,2023-04-28,11,164.72,1976.61,655,3,2,25.0,3.3,2248.39,0,
NX-00007,Personal Loan,North West,Direct,2023-10-17,1,181.22,2174.6,677,1,1,61.4,7.6,951.39,0,
NX-00008,Mortgage Refinance,London,Organic Search,2024-05-01,43,511.83,6141.94,691,2,1,49.1,3.7,13256.35,0,
NX-00009,Auto Finance,East Anglia,Paid Ads,2023-03-02,3,392.31,4707.72,677,4,2,30.4,0.1,411.93,1,2023-05-12
NX-00010,Auto Finance,East Anglia,Organic Search,2024-02-29,27,126.03,1512.38,696,1,1,36.9,3.0,2999.56,0,
NX-00011,Personal Loan,London,Direct,2024-01-24,2,194.7,2336.38,574,1,2,11.6,2.4,3202.79,0,
NX-00012,Mortgage Refinance,Midlands,Paid Ads,2023-12-01,26,530.65,6367.82,672,2,4,74.8,2.1,7986.3,0,
NX-00013,Mortgage Refinance,North West,Referral,2023-11-02,1,499.87,5998.46,675,2,1,55.6,2.4,7698.02,0,
NX-00014,Personal Loan,South East,Paid Ads,2024-01-23,10,137.65,1651.82,570,1,0,9.4,1.9,1445.34,0,
NX-00015,Personal Loan,Midlands,Paid Ads,2023-02-20,20,171.02,2052.21,715,2,2,83.5,3.5,3830.79,0,
NX-00016,Personal Loan,North West,Organic Search,2023-02-21,38,81.99,983.87,629,1,1,47.3,0.0,1492.21,0,
NX-00017,Personal Loan,Wales,Partnership,2023-05-02,33,192.4,2308.84,731,1,1,58.1,0.6,4781.22,0,
NX-00018,Business Line of Credit,Midlands,Referral,2023-06-16,23,470.45,5645.37,684,3,3,34.6,1.4,10867.34,0,
NX-00019,Business Line of Credit,North West,Referral,2023-01-08,30,328.47,3941.65,648,3,2,61.0,1.8,5748.24,0,
NX-00020,Personal Loan,North West,Organic Search,2024-01-04,3,296.44,3557.3,735,3,1,32.6,0.4,3942.67,0,
NX-00021,Auto Finance,London,Paid Ads,2023-02-14,4,280.36,3364.37,771,1,2,53.1,5.1,1570.04,0,
NX-00022,Personal Loan,London,Paid Ads,2023-12-10,4,182.64,2191.73,682,3,2,43.1,8.0,2045.62,0,
NX-00023,Personal Loan,London,Direct,2023-09-02,6,260.15,3121.76,755,2,1,19.3,4.2,3004.7,0,
NX-00024,Business Line of Credit,London,Organic Search,2023-10-11,6,698.48,8381.71,670,2,4,27.9,7.9,1466.8,1,2023-11-20
NX-00025,Business Line of Credit,London,Referral,2024-01-10,11,273.97,3287.59,732,2,3,44.0,4.1,4506.74,0,
NX-00026,Auto Finance,London,Partnership,2023-04-17,2,243.83,2925.92,659,3,3,43.9,1.7,2474.84,0,
NX-00027,Personal Loan,Scotland,Direct,2023-01-27,16,173.84,2086.07,780,2,1,54.3,1.5,2616.28,0,
NX-00028,Business Line of Credit,North West,Paid Ads,2023-07-12,2,323.43,3881.12,739,2,1,25.0,0.5,4527.97,0,
NX-00029,Business Line of Credit,Scotland,Organic Search,2024-02-22,5,529.99,6359.94,705,3,0,56.8,0.3,4080.96,0,
NX-00030,Personal Loan,London,Paid Ads,2023-12-03,9,128.82,1545.85,540,3,5,73.2,0.7,405.79,1,2024-02-16
NX-00031,Auto Finance,Wales,Paid Ads,2023-12-23,22,391.33,4695.94,704,1,0,31.6,2.3,9450.58,0,
NX-00032,Personal Loan,London,Referral,2023-03-03,18,217.42,2609.03,612,2,1,21.1,0.4,4033.12,0,
NX-00033,Personal Loan,South East,Organic Search,2023-03-03,14,249.84,2998.11,699,1,2,69.3,9.1,4284.8,0,
NX-00034,Mortgage Refinance,South East,Paid Ads,2024-02-26,2,392.72,4712.69,750,1,0,50.7,0.7,4261.06,0,
NX-00035,Mortgage Refinance,London,Referral,2023-10-09,11,462.48,5549.71,717,3,2,58.7,5.4,4370.4,0,
NX-00036,Auto Finance,London,Partnership,2023-05-01,1,361.84,4342.07,727,4,2,84.6,5.1,126.64,1,2023-05-31
NX-00037,Personal Loan,Midlands,Referral,2023-10-07,6,223.0,2675.95,659,1,1,65.1,0.5,4058.52,0,
